NAME,RTG,TEAM,DEP,BYE,GP,FPTS,FGA,FGM,FG%,XPM,XPA,XP%,0-19,20-29,30-39,40-49,50+
"Jason Sanders","82","MIA","1",11,16,144,39,36,92,36,36,100,1,8,7,12,8
"Daniel Carlson","67","LV","1",6,16,144,35,33,94,45,47,95.7,0,18,8,3,4
"Younghoe Koo","80","ATL","1",10,15,144,40,37,92,33,36,91.7,0,10,11,8,8
"Tyler Bass","67","BUF","1",11,15,137,33,27,82,56,57,98.2,1,9,6,7,4
"Ryan Succop","75","TB","1",13,16,136,31,28,90,52,57,91.2,1,10,9,7,1
"Greg Zuerlein","80","DAL","1",10,16,135,41,34,83,33,36,91.7,1,5,13,12,3
"Wil Lutz","75","NO","1",6,16,126,28,23,82,57,58,98.3,0,5,10,7,1
"Cairo Santos","79","CHI","1",11,16,126,32,30,94,36,37,97.3,0,9,10,9,2
"Justin Tucker","88","BAL","1",8,15,125,28,25,89,50,51,98,0,7,6,9,3
"Harrison Butker","85","KC","1",10,16,123,27,25,93,48,54,88.9,2,7,9,3,4
"Jason Myers","75","SEA","1",6,16,121,24,24,100,49,53,92.5,0,2,7,13,2
"Joey Slye","72","CAR","1",13,16,120,37,29,78,33,36,91.7,0,11,10,7,1
"Ka'imi Fairbairn","70","HOU","1",8,16,118,31,27,87,37,40,92.5,0,8,9,6,4
"Graham Gano","81","NYG","1",11,16,114,32,31,97,21,23,91.3,0,4,13,9,5
"Dustin Hopkins","74","WAS","1",8,16,111,34,27,79,30,32,93.8,0,5,7,13,2
"Michael Badgley","73","LAC","1",10,16,108,33,24,73,36,39,92.3,0,8,6,8,2
"Brandon McManus","76","DEN","1",8,14,102,32,26,81,24,28,85.7,0,6,3,8,9
"Matt Prater","80","DET","1",5,15,101,27,21,78,38,42,90.5,0,4,7,4,6
"Mason Crosby","80","GB","1",5,15,100,16,15,94,55,59,93.2,1,1,5,5,3
"Stephen Gostkowski","80","TEN","1",7,14,94,26,18,69,40,42,95.2,0,2,4,5,7
"Robbie Gould","80","SF","1",11,15,93,23,19,83,36,38,94.7,0,3,5,9,2
"Cody Parkey","75","CLE","1",9,14,92,19,17,89,41,45,91.1,0,4,4,9,0
"Nick Folk","68","NE","1",6,14,91,24,22,92,25,27,92.6,0,4,7,10,1
"Randy Bullock","76","CIN","1",9,12,87,26,21,81,24,25,96,0,3,8,7,3
"Zane Gonzalez","74","ARI","1",8,12,86,21,16,76,38,38,100,0,4,2,8,2
"Chris Boswell","80","PIT","1",8,12,82,17,17,100,31,35,88.6,0,5,6,5,1
"Dan Bailey","75","MIN","1",7,16,82,22,15,68,37,43,86,0,6,3,4,2
"Rodrigo Blankenship","67","IND","1",7,9,80,21,19,90,23,25,92,0,5,7,7,0
"Jake Elliott","73","PHI","1",9,15,61,18,13,72,22,24,91.7,0,1,6,4,2
"Matt Gay","71","LAR","1",9,7,58,16,14,88,16,16,100,0,2,6,7,2
"Sam Sloman","67","TEN","1",9,8,53,13,10,77,23,26,88.5,0,2,6,2,0
"Sam Ficken","67","NYJ","1",11,9,51,15,13,87,12,15,80,0,5,6,1,1
"Aldrick Rosas","77","JAX","1",7,6,33,11,8,73,9,9,100,0,3,2,0,3
"Austin Seibert","74","CIN","1",9,5,26,9,6,67,8,9,88.9,0,0,5,1,0
"Josh Lambo","82","JAX","1",7,4,23,5,5,100,8,10,80,0,0,2,1,2
"Matthew Wright","73","PIT","1",8,3,19,4,4,100,7,7,100,0,1,1,2,0
"Kai Forbath","73","LAR","1",9,2,10,3,2,67,4,5,80,0,2,0,0,0
"Chase McLaughlin","67","JAX","1",7,2,6,2,1,50,3,4,75,0,1,0,0,0
"Mike Nugent","72","","1",0,1,6,2,2,100,0,0,0,0,1,0,1,0
"Elliott Fry","68","ATL","1",10,1,4,1,1,100,1,2,50,0,1,0,0,0
"Stephen Hauschka","76","JAX","1",7,1,2,2,0,0,2,2,100,0,0,0,0,0
"Brandon Wright","67","JAX","1",7,1,1,0,0,0,1,2,50,0,0,0,0,0
"Jon Brown","67","JAX","1",7,1,0,0,0,0,0,0,0,0,0,1,0,0
"Ty Long","67","LAC","1",10,16,0,0,0,0,0,0,0,0,0,0,0,0
